ENTREZID	SYMBOL	m1_Pb_DMSO.rpkm	m3_Pb_DMSO.rpkm	m2_Pb_DMSO.rpkm	m1_naive.rpkm	m2_naive.rpkm	m3_naive.rpkm
100033459	Pydc3	0.6	0.6	2.4	21.7	21.7	22.7
100034251	Wfdc17	0.4	0.1	0.3	12.7	12.7	12.9
100037258	Dnajc3	120.6	112.1	120.8	22.6	22.6	22.2
100038363	F630028O10Rik	0.0	0.0	0.0	1.1	1.1	1.6
100038752	Gm10825	0.5	0.4	0.5	3.1	3.1	3.0
100038882	Isg15	44.3	53.3	89.0	7.3	7.3	9.8
100038909	Gm14548	0.0	0.0	0.0	2.8	2.8	3.1
100038947	LOC100038947	0.0	0.0	0.0	2.2	2.2	2.7
100040462	Mndal	44.3	42.1	59.9	218.1	218.1	250.7
100040596	NA	1.8	1.9	2.3	0.4	0.4	0.4
100041244	Gm3230	0.0	0.1	0.1	2.0	2.0	1.7
100041546	Ly6c2	114.2	112.9	349.3	21.6	21.6	26.0
100042150	Nrg2	2.0	1.5	2.1	0.2	0.2	0.2
100042480	Nhsl2	0.0	0.0	0.0	0.3	0.3	0.3
100042784	Prdm11	0.2	0.2	0.1	1.7	1.7	1.7
100042970	NA	21.8	25.1	22.4	1.1	1.1	1.2
100043305	Gm4349	2.5	2.9	3.3	0.4	0.4	0.2
100043314	Tigit	15.7	14.6	25.6	0.4	0.4	0.4
100043424	Gm14005	4.0	4.1	3.7	0.2	0.2	0.3
100043636	AI662270	389.7	402.8	373.4	75.0	75.0	72.8
100043757	Zfp831	0.9	0.7	1.1	23.3	23.3	22.4
100121	Tdrd7	2.1	2.1	2.7	9.8	9.8	10.7
100163	Pafah2	3.1	3.6	3.2	0.6	0.6	0.8
100169	Phactr4	3.0	2.8	2.2	14.3	14.3	11.8
100201	Tmem64	5.2	4.6	5.2	24.0	24.0	21.6
100434	Slc44a1	27.1	26.0	29.2	5.7	5.7	5.6
100499420	NA	0.7	1.1	1.0	0.0	0.0	0.1
100502698	1700021K19Rik	6.9	7.0	6.5	45.3	45.3	46.4
100503605	Hbb-bs	0.2	0.1	0.4	62.0	62.0	212.2
100561	Slc15a4	8.8	9.3	8.7	47.0	47.0	45.8
100678	Psph	42.0	41.8	37.2	7.9	7.9	7.6
100702	Gbp6	17.5	20.3	37.5	2.7	2.7	2.5
100952	Emilin1	5.6	5.8	5.8	0.1	0.1	0.3
100978	Nfxl1	22.7	23.6	21.9	2.8	2.8	2.8
101490	Inpp5f	2.9	3.4	3.4	15.7	15.7	17.1
